date,us_date,confirmed,deaths,active,tests,positives,recovered,hosp,icu,vent,vaccines,vaccines_1,vaccines_2,population,administrative_area_level_2
4/08/2020,2020-08-04,18702,233,7892,4481617,18702,10577,483,44,5,0,0,0,25459470,NA
5/08/2020,2020-08-05,19416,248,8447,4552081,19416,10721,566,51,36,0,0,0,25459470,NA
6/08/2020,2020-08-06,19863,256,8681,4632089,19863,10926,600,52,34,0,0,0,25459470,NA
7/08/2020,2020-08-07,20273,267,8878,4724026,20273,11128,632,51,33,0,0,0,25459470,NA
8/08/2020,2020-08-08,20698,279,9052,4764223,20698,11367,659,53,35,0,0,0,25459470,NA
9/08/2020,2020-08-09,21084,296,9108,4857414,21084,11680,659,51,32,0,0,0,25459470,NA
10/08/2020,2020-08-10,21397,315,9133,4918546,21397,11949,664,55,37,0,0,0,25459470,NA
11/08/2020,2020-08-11,21714,334,9180,4980172,21714,12200,673,59,33,0,0,0,25459470,NA
12/08/2020,2020-08-12,22127,355,9185,5041344,22127,12587,686,51,32,0,0,0,25459470,NA
13/08/2020,2020-08-13,22358,364,9185,5109785,22358,12809,686,44,31,0,0,0,25459470,NA
14/08/2020,2020-08-14,22742,378,9206,5180414,22742,13158,679,47,31,0,0,0,25459470,NA
15/08/2020,2020-08-15,23035,382,9211,5243784,23035,13442,683,48,33,0,0,0,25459470,NA
16/08/2020,2020-08-16,23288,399,8996,5297558,23288,13893,680,47,34,0,0,0,25459470,NA
17/08/2020,2020-08-17,23559,424,8789,5336097,23559,14346,674,51,37,0,0,0,25459470,NA
18/08/2020,2020-08-18,23773,441,8596,5380613,23773,14736,682,52,37,0,0,0,25459470,NA
19/08/2020,2020-08-19,23993,454,8485,5440495,23993,15054,694,53,34,0,0,0,25459470,NA
20/08/2020,2020-08-20,24236,467,6108,5508831,24236,17661,644,51,33,0,0,0,25459470,NA
21/08/2020,2020-08-21,24407,476,5663,5579980,24407,18268,647,47,31,0,0,0,25459470,NA
22/08/2020,2020-08-22,24602,489,5546,5647677,24602,18567,631,43,27,0,0,0,25459470,NA
23/08/2020,2020-08-23,24812,506,5265,5706587,24812,19041,604,39,26,0,0,0,25459470,NA
24/08/2020,2020-08-24,24916,521,4984,5758034,24916,19411,659,38,22,0,0,0,25459470,NA
25/08/2020,2020-08-25,25053,529,4902,5814709,25053,19622,644,42,23,0,0,0,25459470,NA
26/08/2020,2020-08-26,25205,553,4744,5886412,25205,19908,603,46,20,0,0,0,25459470,NA
27/08/2020,2020-08-27,25322,575,4573,5972680,25322,20174,558,35,15,0,0,0,25459470,NA
28/08/2020,2020-08-28,25448,586,4421,6052236,25448,20441,543,35,21,0,0,0,25459470,NA
29/08/2020,2020-08-29,25547,604,4279,6119791,25547,20664,510,32,21,0,0,0,25459470,NA
30/08/2020,2020-08-30,25670,615,4131,6168229,25670,20924,501,31,15,0,0,0,25459470,NA
31/08/2020,2020-08-31,25746,656,3932,6214453,25746,21158,481,27,17,0,0,0,25459470,NA
1/09/2020,2020-09-01,25819,661,3847,6255832,25819,21311,450,26,10,0,0,0,25459470,NA
2/09/2020,2020-09-02,25923,667,3758,6319795,25923,21498,433,23,16,0,0,0,25459470,NA
3/09/2020,2020-09-03,26049,682,3647,6455989,26049,21720,391,26,18,0,0,0,25459470,NA
4/09/2020,2020-09-04,26136,741,3417,6526950,26136,21978,357,27,17,0,0,0,25459470,NA
5/09/2020,2020-09-05,26207,752,3317,6590788,26207,22138,326,27,19,0,0,0,25459470,NA
6/09/2020,2020-09-06,26279,757,3247,6657348,26279,22275,310,26,20,0,0,0,25459470,NA
7/09/2020,2020-09-07,26322,766,3145,6693434,26322,22411,294,32,21,0,0,0,25459470,NA
8/09/2020,2020-09-08,26374,774,3068,6730397,26374,22532,263,29,16,0,0,0,25459470,NA
9/09/2020,2020-09-09,26465,785,3009,6789333,26465,22671,221,26,15,0,0,0,25459470,NA
10/09/2020,2020-09-10,26513,792,2877,6849431,26513,22844,195,23,15,0,0,0,25459470,NA
11/09/2020,2020-09-11,26565,801,2739,6928153,26565,23025,163,18,12,0,0,0,25459470,NA
12/09/2020,2020-09-12,26606,807,2662,6976155,26606,23137,151,15,10,0,0,0,25459470,NA
13/09/2020,2020-09-13,26650,813,2567,7016090,26650,23270,137,17,7,0,0,0,25459470,NA
14/09/2020,2020-09-14,26691,820,2485,7047036,26691,23386,141,18,10,0,0,0,25459470,NA
15/09/2020,2020-09-15,26737,820,2457,7076652,26737,23460,139,17,10,0,0,0,25459470,NA
16/09/2020,2020-09-16,26779,828,2417,7124384,26779,23534,126,16,9,0,0,0,25459470,NA
17/09/2020,2020-09-17,26813,836,2377,7178741,26813,23600,117,16,9,0,0,0,25459470,NA
18/09/2020,2020-09-18,26861,841,2357,7224163,26861,23663,108,15,9,0,0,0,25459470,NA
19/09/2020,2020-09-19,26885,847,2268,7263213,26885,23770,106,12,7,0,0,0,25459470,NA
20/09/2020,2020-09-20,26898,853,2175,7296252,26898,23870,109,10,6,0,0,0,25459470,NA
21/09/2020,2020-09-21,26912,855,2092,7319688,26912,23965,107,8,4,0,0,0,25459470,NA
22/09/2020,2020-09-22,26942,858,2058,7351283,26942,24026,100,11,6,0,0,0,25459470,NA
23/09/2020,2020-09-23,26974,863,2000,7393693,26974,24111,89,11,7,0,0,0,25459470,NA
24/09/2020,2020-09-24,26983,865,1981,7441327,26983,24137,81,11,7,0,0,0,25459470,NA
25/09/2020,2020-09-25,27000,873,1918,7479815,27000,24209,71,11,7,0,0,0,25459470,NA
26/09/2020,2020-09-26,27016,874,1885,7517520,27016,24257,68,12,5,0,0,0,25459470,NA
27/09/2020,2020-09-27,27040,876,1847,7546223,27040,24317,66,12,5,0,0,0,25459470,NA
28/09/2020,2020-09-28,27044,879,1805,7563322,27044,24360,62,11,4,0,0,0,25459470,NA
29/09/2020,2020-09-29,27063,886,1781,7589332,27063,24396,60,8,4,0,0,0,25459470,NA
30/09/2020,2020-09-30,27078,890,1761,7637403,27078,24427,55,9,3,0,0,0,25459470,NA
1/10/2020,2020-10-01,27096,892,1747,7679651,27096,24457,50,9,3,0,0,0,25459470,NA
2/10/2020,2020-10-02,27113,894,1722,7716580,27113,24497,51,6,3,0,0,0,25459470,NA
3/10/2020,2020-10-03,27121,897,1702,7746733,27121,24522,49,6,3,0,0,0,25459470,NA
4/10/2020,2020-10-04,27136,898,1700,7772921,27136,24538,46,6,1,0,0,0,25459470,NA
5/10/2020,2020-10-05,27149,898,1687,7795523,27149,24564,46,6,2,0,0,0,25459470,NA
6/10/2020,2020-10-06,27174,899,1687,7819472,27174,24588,37,5,2,0,0,0,25459470,NA
7/10/2020,2020-10-07,27182,901,1674,7852692,27182,24607,32,6,0,0,0,0,25459470,NA
8/10/2020,2020-10-08,27206,901,1685,7895078,27206,24620,31,3,0,0,0,0,25459470,NA
9/10/2020,2020-10-09,27229,901,1687,7936192,27229,24641,28,4,0,0,0,0,25459470,NA
10/10/2020,2020-10-10,27244,901,1687,7976790,27244,24656,31,4,0,0,0,0,25459470,NA
11/10/2020,2020-10-11,27264,902,1694,8008111,27264,24668,31,2,0,0,0,0,25459470,NA
12/10/2020,2020-10-12,27286,902,1701,8035558,27286,24683,32,1,0,0,0,0,25459470,NA
13/10/2020,2020-10-13,27316,903,1710,8062988,27316,24703,32,1,0,0,0,0,25459470,NA
14/10/2020,2020-10-14,27341,908,1724,8109603,27341,24709,28,1,0,0,0,0,25459470,NA
15/10/2020,2020-10-15,27362,908,1732,8153116,27362,24722,26,1,0,0,0,0,25459470,NA
16/10/2020,2020-10-16,27371,908,1714,8196994,27371,24749,20,1,0,0,0,0,25459470,NA
17/10/2020,2020-10-17,27383,908,1717,8239368,27383,24758,18,1,0,0,0,0,25459470,NA
18/10/2020,2020-10-18,27391,908,1715,8276036,27391,24768,16,1,0,0,0,0,25459470,NA
19/10/2020,2020-10-19,27399,909,1718,8303374,27399,24772,17,1,0,0,0,0,25459470,NA
20/10/2020,2020-10-20,27430,909,1735,8332247,27430,24786,17,1,0,0,0,0,25459470,NA
21/10/2020,2020-10-21,27444,909,1727,8378006,27444,24808,16,1,0,0,0,0,25459470,NA
22/10/2020,2020-10-22,27466,909,1737,8423824,27466,24820,16,1,0,0,0,0,25459470,NA
23/10/2020,2020-10-23,27484,909,1747,8467326,27484,24828,20,0,0,0,0,0,25459470,NA
24/10/2020,2020-10-24,27499,909,1752,8505211,27499,24838,19,0,0,0,0,0,25459470,NA
25/10/2020,2020-10-25,27520,909,1766,8535842,27520,24845,17,0,0,0,0,0,25459470,NA
26/10/2020,2020-10-26,27527,909,1755,8567028,27527,24863,16,0,0,0,0,0,25459470,NA
